Name,Description,Unit,DataType,Attributes
ClickHouseAsyncMetrics_BlockWriteTime_ram11,,,Gauge,
ClickHouseProfileEvents_ExternalAggregationCompressedBytes,,,Sum,
ClickHouseAsyncMetrics_NetworkReceiveDrop_eth0,,,Gauge,
ClickHouseAsyncMetrics_BlockReadBytes_ram12,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardTime_nbd15,,,Gauge,
ClickHouseAsyncMetrics_OSGuestTimeCPU2,,,Gauge,
ClickHouseAsyncMetrics_BlockQueueTime_ram12,,,Gauge,
ClickHouseProfileEvents_MMappedFileCacheMisses,,,Sum,
ClickHouseAsyncMetrics_BlockDiscardBytes_nbd4,,,Gauge,
ClickHouseAsyncMetrics_OSUserTimeCPU6,,,Gauge,
ClickHouseAsyncMetrics_OSGuestNiceTimeCPU1,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteOps_ram15,,,Gauge,
ClickHouseAsyncMetrics_BlockActiveTime_nbd6,,,Gauge,
ClickHouseAsyncMetrics_jemalloc_arenas_all_pmuzzy,,,Gauge,
ClickHouseProfileEvents_DiskReadElapsedMicroseconds,Total time spent waiting for read syscall. This include reads from page cache.,,Sum,
ClickHouseAsyncMetrics_BlockWriteMerges_ram2,,,Gauge,
ClickHouseAsyncMetrics_OSIdleTimeCPU7,,,Gauge,
ClickHouseAsyncMetrics_OSIOWaitTime,,,Gauge,
ClickHouseProfileEvents_OSWriteChars,"Number of bytes written to filesystem, including page cache.",,Sum,
ClickHouseProfileEvents_PerfMinEnabledRunningTime,Running time for event with minimum enabled time. Used to track the amount of event multiplexing,,Sum,
ClickHouseMetrics_MaxPushedDDLEntryID,Max DDL entry of DDLWorker that pushed to zookeeper.,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardOps_nbd4,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_ram4,,,Gauge,
ClickHouseAsyncMetrics_OSSoftIrqTimeCPU5,,,Gauge,
ClickHouseAsyncMetrics_jemalloc_resident,,,Gauge,
ClickHouseAsyncMetrics_FilesystemLogsPathTotalBytes,,,Gauge,
ClickHouseAsyncMetrics_BlockReadMerges_nbd5,,,Gauge,
ClickHouseAsyncMetrics_OSIrqTimeCPU4,,,Gauge,
ClickHouseAsyncMetrics_LoadAverage15,,,Gauge,
ClickHouseAsyncMetrics_OSUserTimeNormalized,,,Gauge,
ClickHouseProfileEvents_SelectQuery,"Same as Query, but only for SELECT queries.",,Sum,
ClickHouseProfileEvents_DistributedDelayedInsertsMilliseconds,Total number of milliseconds spent while the INSERT of a block to a Distributed table was throttled due to high number of pending bytes.,,Sum,
ClickHouseProfileEvents_CannotWriteToWriteBufferDiscard,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.,,Sum,
ClickHouseAsyncMetrics_BlockWriteBytes_nbd5,,,Gauge,
ClickHouseAsyncMetrics_BlockActiveTime_nbd13,,,Gauge,
ClickHouseAsyncMetrics_BlockQueueTime_nbd2,,,Gauge,
ClickHouseProfileEvents_RemoteFSCancelledPrefetches,Number of cancelled prefecthes (because of seek),,Sum,
ClickHouseAsyncMetrics_NetworkReceiveBytes_tunl0,,,Gauge,
ClickHouseAsyncMetrics_BlockReadMerges_nbd3,,,Gauge,
ClickHouseMetrics_GlobalThreadActive,Number of threads in global thread pool running a task.,,Gauge,
ClickHouseProfileEvents_ReadCompressedBytes,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network).",,Sum,
ClickHouseAsyncMetrics_BlockWriteTime_nbd13,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_nbd11,,,Gauge,
ClickHouseProfileEvents_RemoteFSUnprefetchedReads,Number of reads from unprefetched buffer,,Sum,
ClickHouseMetrics_RWLockWaitingWriters,Number of threads waiting for write on a table RWLock.,,Gauge,
ClickHouseMetrics_SendExternalTables,Number of connections that are sending data for external tables to remote servers. External tables are used to implement GLOBAL IN and GLOBAL JOIN operators with distributed subqueries.,,Gauge,
ClickHouseMetrics_PartsActive,"Active data part, used by current and upcoming SELECTs.",,Gauge,
ClickHouseAsyncMetrics_BlockDiscardOps_ram15,,,Gauge,
ClickHouseAsyncMetrics_BlockReadBytes_nbd0,,,Gauge,
ClickHouseAsyncMetrics_MarkCacheFiles,,,Gauge,
ClickHouseProfileEvents_OpenedFileCacheMisses,,,Sum,
ClickHouseProfileEvents_PerfTaskClock,A clock count specific to the task that is running,,Sum,
ClickHouseAsyncMetrics_jemalloc_arenas_all_dirty_purged,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardTime_ram12,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_nbd10,,,Gauge,
